GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0100000US,,United States,0100000US,,United States,United States,T1_POP$0100000US,T1_HU$0100000US,,,,,
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,T1_POP$0400000US01,T1_HU$0400000US01,,,,,
0100000US,,United States,0500000US01005,01005,United States - Alabama - Barbour County,Barbour County,,T1_HU$0500000US01005,,,,,
0100000US,,United States,0500000US01073,01073,United States - Alabama - Jefferson County,Jefferson County,T1_POP$0500000US01073,T1_HU$0500000US01073,,,,,
0100000US,,United States,0500000US01081,01081,United States - Alabama - Lee County,Lee County,T1_POP$0500000US01081,T1_HU$0500000US01081,,,,,
0100000US,,United States,0500000US01097,01097,United States - Alabama - Mobile County,Mobile County,T1_POP$0500000US01097,T1_HU$0500000US01097,,,,,
0100000US,,United States,0400000US02,02,United States - Alaska,Alaska,T1_POP$0400000US02,T1_HU$0400000US02,,,,,
0100000US,,United States,0500000US02164,02164,United States - Alaska - Lake and Peninsula Borough,Lake and Peninsula Borough,T1_POP$0500000US02164,T1_HU$0500000US02164,,,,,
0100000US,,United States,0400000US05,05,United States - Arkansas,Arkansas,T1_POP$0400000US05,T1_HU$0400000US05,,,,,
0100000US,,United States,0500000US05103,05103,United States - Arkansas - Ouachita County,Ouachita County,T1_POP$0500000US05103,T1_HU$0500000US05103,,,,,
0100000US,,United States,0500000US08005,08005,United States - Colorado - Arapahoe County,Arapahoe County,T1_POP$0500000US08005,T1_HU$0500000US08005,,,,,
0100000US,,United States,0500000US08031,08031,United States - Colorado - Denver County,Denver County,T1_POP$0500000US08031,T1_HU$0500000US08031,,,,,
0100000US,,United States,0400000US11,11,United States - District of Columbia,District of Columbia,T1_POP$0400000US11,T1_HU$0400000US11,,,,,
0100000US,,United States,0500000US11001,11001,United States - District of Columbia - District of Columbia,District of Columbia,T1_POP$0500000US11001,T1_HU$0500000US11001,,,,,
0100000US,,United States,0400000US12,12,United States - Florida,Florida,T1_POP$0400000US12,T1_HU$0400000US12,,,,,
0100000US,,United States,0500000US12069,12069,United States - Florida - Lake County,Lake County,T1_POP$0500000US12069,,,,,,
0100000US,,United States,0500000US12083,12083,United States - Florida - Marion County,Marion County,T1_POP$0500000US12083,,,,,,
0100000US,,United States,0500000US12086,12086,United States - Florida - Miami-Dade County,Miami-Dade County,T1_POP$0500000US12086,T1_HU$0500000US12086,,,,,
0100000US,,United States,0400000US13,13,United States - Georgia,Georgia,T1_POP$0400000US13,T1_HU$0400000US13,,,,,
0100000US,,United States,0500000US13051,13051,United States - Georgia - Chatham County,Chatham County,T1_POP$0500000US13051,T1_HU$0500000US13051,,,,,
0100000US,,United States,0500000US13089,13089,United States - Georgia - DeKalb County,DeKalb County,T1_POP$0500000US13089,T1_HU$0500000US13089,,,,,
0100000US,,United States,0500000US13121,13121,United States - Georgia - Fulton County,Fulton County,T1_POP$0500000US13121,T1_HU$0500000US13121,,,,,
0100000US,,United States,0500000US13273,13273,United States - Georgia - Terrell County,Terrell County,T1_POP$0500000US13273,T1_HU$0500000US13273,,,,,
0100000US,,United States,0400000US16,16,United States - Idaho,Idaho,T1_POP$0400000US16,,,,,,
0100000US,,United States,0500000US16019,16019,United States - Idaho - Bonneville County,Bonneville County,T1_POP$0500000US16019,,,,,,
0100000US,,United States,0500000US18003,18003,United States - Indiana - Allen County,Allen County,T1_POP$0500000US18003,,,,,,
0100000US,,United States,0500000US18053,18053,United States - Indiana - Grant County,Grant County,T1_POP$0500000US18053,,,,,,
0100000US,,United States,0400000US24,24,United States - Maryland,Maryland,T1_POP$0400000US24,T1_HU$0400000US24,,,,,
0100000US,,United States,0500000US24005,24005,United States - Maryland - Baltimore County,Baltimore County,T1_POP$0500000US24005,T1_HU$0500000US24005,,,,,
0100000US,,United States,0500000US24510,24510,United States - Maryland - Baltimore city,Baltimore city,T1_POP$0500000US24510,T1_HU$0500000US24510,,,,,
0100000US,,United States,0500000US25021,25021,United States - Massachusetts - Norfolk County,Norfolk County,T1_POP$0500000US25021,,,,,,
0100000US,,United States,0500000US25025,25025,United States - Massachusetts - Suffolk County,Suffolk County,T1_POP$0500000US25025,,,,,,
0100000US,,United States,0400000US26,26,United States - Michigan,Michigan,T1_POP$0400000US26,T1_HU$0400000US26,,,,,
0100000US,,United States,0500000US26163,26163,United States - Michigan - Wayne County,Wayne County,T1_POP$0500000US26163,T1_HU$0500000US26163,,,,,
0100000US,,United States,0400000US34,34,United States - New Jersey,New Jersey,T1_POP$0400000US34,T1_HU$0400000US34,,,,,
0100000US,,United States,0500000US34005,34005,United States - New Jersey - Burlington County,Burlington County,T1_POP$0500000US34005,T1_HU$0500000US34005,,,,,
0100000US,,United States,0500000US34007,34007,United States - New Jersey - Camden County,Camden County,T1_POP$0500000US34007,T1_HU$0500000US34007,,,,,
0100000US,,United States,0500000US34017,34017,United States - New Jersey - Hudson County,Hudson County,T1_POP$0500000US34017,T1_HU$0500000US34017,,,,,
0100000US,,United States,0500000US34019,34019,United States - New Jersey - Hunterdon County,Hunterdon County,T1_POP$0500000US34019,,,,,,
0100000US,,United States,0500000US34021,34021,United States - New Jersey - Mercer County,Mercer County,T1_POP$0500000US34021,,,,,,
0100000US,,United States,0400000US35,35,United States - New Mexico,New Mexico,T1_POP$0400000US35,T1_HU$0400000US35,,,,,
0100000US,,United States,0500000US35035,35035,United States - New Mexico - Otero County,Otero County,T1_POP$0500000US35035,T1_HU$0500000US35035,,,,,
0100000US,,United States,0500000US37063,37063,United States - North Carolina - Durham County,Durham County,T1_POP$0500000US37063,,,,,,
0100000US,,United States,0500000US37077,37077,United States - North Carolina - Granville County,Granville County,T1_POP$0500000US37077,,,,,,
0100000US,,United States,0400000US39,39,United States - Ohio,Ohio,,T1_HU$0400000US39,,,,,
0100000US,,United States,0500000US39035,39035,United States - Ohio - Cuyahoga County,Cuyahoga County,T1_POP$0500000US39035,T1_HU$0500000US39035,,,,,
0100000US,,United States,0500000US39055,39055,United States - Ohio - Geauga County,Geauga County,T1_POP$0500000US39055,T1_HU$0500000US39055,,,,,
0100000US,,United States,0500000US39085,39085,United States - Ohio - Lake County,Lake County,T1_POP$0500000US39085,T1_HU$0500000US39085,,,,,
0100000US,,United States,0500000US39155,39155,United States - Ohio - Trumbull County,Trumbull County,T1_POP$0500000US39155,T1_HU$0500000US39155,,,,,
0100000US,,United States,0500000US42029,42029,United States - Pennsylvania - Chester County,Chester County,T1_POP$0500000US42029,,,,,,
0100000US,,United States,0500000US42033,42033,United States - Pennsylvania - Clearfield County,Clearfield County,T1_POP$0500000US42033,T1_HU$0500000US42033,,,,,
0100000US,,United States,0500000US42045,42045,United States - Pennsylvania - Delaware County,Delaware County,T1_POP$0500000US42045,T1_HU$0500000US42045,,,,,
0100000US,,United States,0500000US42065,42065,United States - Pennsylvania - Jefferson County,Jefferson County,T1_POP$0500000US42065,T1_HU$0500000US42065,,,,,
0100000US,,United States,0500000US42091,42091,United States - Pennsylvania - Montgomery County,Montgomery County,T1_POP$0500000US42091,T1_HU$0500000US42091,,,,,
0100000US,,United States,0500000US45021,45021,United States - South Carolina - Cherokee County,Cherokee County,T1_POP$0500000US45021,,,,,,
0100000US,,United States,0500000US45055,45055,United States - South Carolina - Kershaw County,Kershaw County,T1_POP$0500000US45055,,,,,,
0100000US,,United States,0400000US46,46,United States - South Dakota,South Dakota,T1_POP$0400000US46,T1_HU$0400000US46,,,,,
0100000US,,United States,0500000US46047,46047,United States - South Dakota - Fall River County,Fall River County,,T1_HU$0500000US46047,,,,,
0100000US,,United States,0500000US46093,46093,United States - South Dakota - Meade County,Meade County,T1_POP$0500000US46093,T1_HU$0500000US46093,,,,,
0100000US,,United States,0500000US46103,46103,United States - South Dakota - Pennington County,Pennington County,T1_POP$0500000US46103,T1_HU$0500000US46103,,,,,
0100000US,,United States,0400000US48,48,United States - Texas,Texas,T1_POP$0400000US48,T1_HU$0400000US48,,,,,
0100000US,,United States,0500000US48215,48215,United States - Texas - Hidalgo County,Hidalgo County,T1_POP$0500000US48215,T1_HU$0500000US48215,,,,,
0100000US,,United States,0500000US51003,51003,United States - Virginia - Albemarle County,Albemarle County,T1_POP$0500000US51003,,,,,,
0100000US,,United States,0500000US51059,51059,United States - Virginia - Fairfax County,Fairfax County,T1_POP$0500000US51059,T1_HU$0500000US51059,,,,,
0100000US,,United States,0500000US51199,51199,United States - Virginia - York County,York County,T1_POP$0500000US51199,T1_HU$0500000US51199,,,,,
0100000US,,United States,0500000US51510,51510,United States - Virginia - Alexandria city,Alexandria city,T1_POP$0500000US51510,T1_HU$0500000US51510,,,,,
0100000US,,United States,0500000US51540,51540,United States - Virginia - Charlottesville city,Charlottesville city,T1_POP$0500000US51540,,,,,,
0100000US,,United States,0500000US51650,51650,United States - Virginia - Hampton city,Hampton city,T1_POP$0500000US51650,T1_HU$0500000US51650,,,,,
0100000US,,United States,0500000US51700,51700,United States - Virginia - Newport News city,Newport News city,T1_POP$0500000US51700,T1_HU$0500000US51700,,,,,
0100000US,,United States,0500000US51830,51830,United States - Virginia - Williamsburg city,Williamsburg city,T1_POP$0500000US51830,T1_HU$0500000US51830,,,,,
0100000US,,United States,0400000US72,72,Puerto Rico,Puerto Rico,T1_POP$0400000US72,T1_HU$0400000US72,,,,,
0100000US,,United States,0500000US72063,72063,Puerto Rico - Gurabo Municipio,Gurabo Municipio,T1_POP$0500000US72063,T1_HU$0500000US72063,,,,,
